作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
0030	0062	完了	東京都	杉並区	東栄工機前の交差点	167-0035	東京都杉並区今川4-15		35.716122	139.601354	"https://www.google.co.jp/maps/@35.7161324,139.6013243,3a,15y,83.67h,86.73t/data=!3m6!1e1!3m4!1sAxC3wbrCg-g1LwjBJhuz9w!2e0!7i16384!8i8192?hl=ja"				5		惡の華	アクノハナ	第12話で、学校帰りの春日高男が、感想文を差し出して読んで欲しいと頼むのを無視して逃げる仲村佐和を追いかけるシーンで、高男車に轢かれかけて尻もちをついていた交差点。				スギナミク	ア	13	12	2		
0030	0017	完了	東京都	杉並区	東栄工機 前	167-0035	東京都杉並区今川4-16		35.716172	139.601346	"https://www.google.co.jp/maps/@35.716032,139.6013656,3a,20.8y,355.56h,89.28t/data=!3m6!1e1!3m4!1sUFRSbqHsf836TtOdPmwdmQ!2e0!7i13312!8i6656?hl=ja"	17.0		120	4.5		惡の華	アクノハナ	第12話で、学校帰りの春日高男が、感想文を差し出して読んで欲しいと頼むのを無視して逃げる仲村佐和を追いかけるシーンで、車に轢かれかけて尻もちをついた高男を振り返りもせずに仲村が走り去っていた場所。				スギナミク	ア	13	12	2		
0030	0001	完了	群馬県	桐生市	昭和通りの信号機	376-0002	群馬県桐生市境野町1		36.395927	139.34469	"https://www.google.co.jp/maps/@36.395794,139.344693,3a,15y,21.39h,99.78t/data=!3m6!1e1!3m4!1sHx0EswId8wFPywFzhgWLVw!2e0!7i13312!8i6656?hl=ja"	17.0		120	5		惡の華	アクノハナ	第1話冒頭の通学シーンで描かれていた信号。<br />第9話で、教室が荒らされた事件を受けて教師の監視の元で生徒たちが下校するシーンでも同じ構図で描かれていました。<br />実写トレース作画なので、実風景と完全に一致します。				キリュウシ	ア	10	15	2		
0030	0002	完了	群馬県	桐生市	小梅琴平公園 	376-0004	群馬県桐生市小梅町		36.393729	139.338196	-	15.0		0			惡の華	アクノハナ	第7話で佐伯奈々子の家からの帰りの春日高男が、罪の意識に苛まれ落ち込んでいたところへ、仲村佐和が現れ、深夜に学校に来るよう命令していた公園。<br />第9話で、教室を荒らした事件が親バレして家を飛び出した高男が、行く場所もなく街を走り回るシーンでも、公園の風景の一部が描かれていました。				キリュウシ	ア	10	15	2		
0030	0003	完了	群馬県	桐生市	朝倉染布倉庫 前	376-0004	群馬県桐生市小梅町5-28		36.396415	139.334957	"https://www.google.co.jp/maps/@36.3964983,139.3347897,3a,19.6y,124.8h,88.62t/data=!3m6!1e1!3m4!1sqS2cLWUw84c-zuzQFYwCKw!2e0!7i13312!8i6656?hl=ja"	15.0		120	5		惡の華	アクノハナ	第3話で春日高男が佐伯奈々子の体操着の処分場所を探すシーンで登場。座標地点から南東側を望む構図で描かれていました。<br />体操着処分シーン⑫<br />第9話で、教室を荒らした事件が親バレして家を飛び出した高男が、行く場所もなく街を走り回るシーンでも、同じ構図のカットが使われていました。<br />実写トレース作画なので、実風景と完全に一致します。				キリュウシ	ア	10	15	2		
0030	0004	完了	群馬県	桐生市	朝倉染布倉庫 脇	376-0004	群馬県桐生市小梅町5-28		36.396471	139.335493	"https://www.google.co.jp/maps/@36.3963038,139.3352557,3a,26.6y,44.63h,91.71t/data=!3m6!1e1!3m4!1s0isZA1tK9fVwpSjrPguH-Q!2e0!7i13312!8i6656?hl=ja"	16.0		120	4		惡の華	アクノハナ	第3話で春日高男が佐伯奈々子の体操着の処分場所を探すシーンで登場。<br />体操着処分シーン⑬<br />実写トレース作画なので、実風景と完全に一致します。				キリュウシ	ア	10	15	2		
0030	0097	完了	群馬県	桐生市	駐車場裏の細道	376-0006	群馬県桐生市新宿1-9		36.403007	139.335558	-						惡の華	アクノハナ	第6話で、つき合いはじめたばかりの春日高男が佐伯奈々子が一緒に学校から帰るシーンで、2人が歩いていた場所その2。<br />※南側の民家の壁は解体済。				キリュウシ	ア	10	15	2		
0030	0005	完了	群馬県	桐生市	丁字路	376-0006	群馬県桐生市新宿1-9		36.402874	139.335811	"https://www.google.co.jp/maps/@36.4031214,139.3360254,3a,15y,213.6h,90.17t/data=!3m6!1e1!3m4!1skL-li4aO9jgOd1EKR-qLpQ!2e0!7i13312!8i6656?hl=ja"	17.0		120	5		惡の華	アクノハナ	第6話で、つき合いはじめたばかりの春日高男が佐伯奈々子が一緒に学校から帰るシーンで、2人が歩いていた場所その2。<br />南西側のセントマリアージュチャペル側を望む構図で描かれていました。<br />実写トレース作画なので、実風景と完全に一致します。<br />※民家の壁は解体済。				キリュウシ	ア	10	15	2		
0030	0006	完了	群馬県	桐生市	桐生市立南小学校歩道橋	376-0006	群馬県桐生市新宿2-7		36.399997	139.339771	-	17.0		0			惡の華	アクノハナ	第8話で、深夜の学校で教室をめちゃくちゃにした帰りの春日高男と仲村佐和が渡っていた歩道橋。<br />深夜の学校帰り①				キリュウシ	ア	10	15	2		
0030	0007	完了	群馬県	桐生市	用水路の小橋	376-0006	群馬県桐生市新宿3-1		36.398233	139.342963	-	17.0		120			惡の華	アクノハナ	第8話で、深夜の学校で教室をめちゃくちゃにした春日高男と仲村佐和が家に帰るシーンで、2人が用水路に架かる小橋を渡る姿が描かれていました。<br />深夜の学校帰り③				キリュウシ	ア	10	15	2		
0030	0008	完了	群馬県	桐生市	小橋	376-0006	群馬県桐生市新宿3-2		36.396121	139.344505	"https://www.google.co.jp/maps/@36.3960122,139.3445684,3a,37.5y,340.65h,88.23t/data=!3m6!1e1!3m4!1sp7VGYqCmEqGtNKqi48uoXg!2e0!7i13312!8i6656?hl=ja"	17.0		120			惡の華	アクノハナ	第1話冒頭、第8話の通学シーンで春日高男たち学生が渡っていた小橋。実写トレース作画なので、実風景と完全に一致します。				キリュウシ	ア	10	15	2		
0030	0009	完了	群馬県	桐生市	桐生市総合福祉センター入口	376-0006	群馬県桐生市新宿3-3		36.395681	139.344082	"https://www.google.co.jp/maps/@36.3956128,139.343974,3a,28.2y,62.24h,88.9t/data=!3m6!1e1!3m4!1sNui2ZM4x2LJYVBb1cRvN0Q!2e0!7i13312!8i6656?hl=ja"	17.0		120	4.5		惡の華	アクノハナ	第3話で春日高男が、佐伯奈々子の体操着の処分場所を探し回った揚句、人目を気にして処分できないまま辿りついてしまった学校の入口のモデル。				キリュウシ	ア	10	15	2		
0030	0010	完了	群馬県	桐生市	桐生市総合福祉センター	376-0006	群馬県桐生市新宿3-3-19		36.395072	139.344838	"https://www.google.co.jp/maps/@36.3954565,139.3450005,3a,41.3y,190.89h,105.73t/data=!3m6!1e1!3m4!1sFF8q1wtXa5R8Dsc1ub1bUg!2e0!7i13312!8i6656?hl=ja"	17.0		120		0277-43-0183	惡の華	アクノハナ	春日高男が通う学校のモデル。<br />第1話冒頭の通学シーンで外観が描かれていました。<br />実写トレース作画なので、実風景と完全に一致します。	http://www.city.kiryu.gunma.jp/web/home.nsf/0/4954f240ff89c03b49257547001dc262?OpenDocument			キリュウシ	ア	10	15	2		
0030	0011	完了	群馬県	桐生市	桐生市総合福祉センター裏門	376-0006	群馬県桐生市新宿3-3		36.395018	139.34311	"https://www.google.co.jp/maps/@36.3950127,139.3431081,3a,28.4y,112.54h,79.39t/data=!3m6!1e1!3m4!1sztV-qD6GdOYkn_DVSbd25A!2e0!7i13312!8i6656?hl=ja"	17.0		120			惡の華	アクノハナ	第7話で春日高男を深夜学校に呼びつけた仲村佐和が、春日を待っていた場所。				キリュウシ	ア	10	15	2		
0030	0012	完了	群馬県	桐生市	桐生市総合福祉センター裏門付近（ネット、樹木、民家）	376-0006	群馬県桐生市新宿3-3		36.395679	139.344052	"https://www.google.co.jp/maps/@36.395736,139.3441358,3a,44.3y,222.37h,108.5t/data=!3m6!1e1!3m4!1sg6DyUjUfTfQRIKBK_gxWIA!2e0!7i13312!8i6656?hl=ja"	17.0		120	1.5		惡の華	アクノハナ	第11話で、春日高男と佐伯奈々子が握手をして別れを告げるシーンの挿入カットで、グラウンドのネットや敷地内の木々、民家などが描かれていました。<br />第12話で、学校帰りに高男が仲村佐和を追いかけるシーンの冒頭カットでも同じ構図で描かれていました。				キリュウシ	ア	10	15	2		
0030	0013	完了	群馬県	桐生市	桐生市総合福祉センター裏の道	376-0006	群馬県桐生市新宿3-3		36.3954	139.343676	"https://www.google.co.jp/maps/@36.3951205,139.3432707,3a,23.8y,56.24h,86.28t/data=!3m6!1e1!3m4!1syJpU2MFvMml34b03Um4nFQ!2e0!7i13312!8i6656?hl=ja"	17.0		120	2		惡の華	アクノハナ	第12話で、学校帰りの春日高男が、仲村佐和を追いかけて走っていた道。				キリュウシ	ア	10	15	2		
0030	0014	完了	群馬県	桐生市	桐生市総合福祉センター裏の道（民家前）	376-0006	群馬県桐生市新宿3-3		36.394896	139.342951	"https://www.google.co.jp/maps/@36.3948869,139.3429224,3a,44.2y,46.04h,82.89t/data=!3m6!1e1!3m4!1sF076xMrVTr-wrN896jUAWQ!2e0!7i13312!8i6656?hl=ja"	17.0		120	3		惡の華	アクノハナ	第12話で、学校帰りの春日高男が、仲村佐和に感想文を差し出して読んで欲しいと頼んでいた場所。				キリュウシ	ア	10	15	2		
0030	0015	完了	群馬県	桐生市	有田吉広バレエ教室 脇	376-0006	群馬県桐生市新宿3-6-25		36.394766	139.342737	"https://www.google.co.jp/maps/@36.3948048,139.3427982,3a,52.8y,275.66h,86.2t/data=!3m6!1e1!3m4!1sOWBwdYJKUvgF4FyMKpq_Jw!2e0!7i13312!8i6656?hl=ja"	17.0		120	3		惡の華	アクノハナ	第12話で、学校帰りの春日高男が、感想文を差し出して読んで欲しいと頼むのを無視して立ち去ろうとする仲村佐和に追いすがっていた場所。				キリュウシ	ア	10	15	2		
0030	0016	完了	群馬県	桐生市	有田吉広バレエ教室 前	376-0006	群馬県桐生市新宿3-6-25		36.394845	139.342845	"https://www.google.co.jp/maps/@36.3947819,139.3425547,3a,19y,106.18h,89.85t/data=!3m6!1e1!3m4!1sNIpd8GOksBSVwF0h89N3ow!2e0!7i13312!8i6656?hl=ja"	17.0		120	3		惡の華	アクノハナ	第12話で、学校帰りに感想文を差し出して読んで欲しいと追いすがる春日高男から逃れるために仲村佐和が早足で歩いていた場所。ここから北西側へ向かい、やがて走り出した2人が、スダストア前辺り（群馬県桐生市新宿3-9）まで走り通します。				キリュウシ	ア	10	15	2		
