作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0571	0001	完了	東京都	大田区	羽田空港 第3ターミナル	144-0041	東京都大田区羽田空港2-6-5		35.544984	139.768714	-						デュラララ!!×2 結	デュラララカケルニケツ	第36話のラストで、スローンと共に母国に帰国するヴァローナを、平和島静雄と田中トムが見送っていた空港。				オオタク	テ	13	5	2	
0571	0002	完了	東京都	新宿区	住宅地（新幸ハイム前）	169-0074	東京都新宿区北新宿1-17		35.698555	139.695610	"https://www.google.co.jp/maps/@35.6986439,139.6955688,3a,48.2y,170.71h,88.52t/data=!3m6!1e1!3m4!1saNQTRFQFclwGjRXm8cFGXQ!2e0!7i16384!8i8192"						デュラララ!!×2 結	デュラララカケルニケツ	第25話で、矢霧波江を拉致しようとしていた矢霧清太郎、鯨木かさねたちを、岸谷森厳がガスマスク2号、3号を引き連れて襲撃し、波江を救出していた場所。				シンジュクク	テ	13	11	2	
0571	0003	完了	東京都	豊島区	カルドアンビエンテから望む首都高速5号池袋線	170-0011	東京都豊島区池袋本町2-5-3		35.739926	139.709120	-						デュラララ!!×2 結	デュラララカケルニケツ	第34話で、鯨木かさねに拉致され連れ込まれていたマンションから間宮愛美の助けを借りて帰ってきた岸谷森羅が、マンションの自室から眺めていた夜景。<br />回想シーンでは日中の風景として同じ構図のカットも描かれていました。<br />マンション（カルドアンビエンテ）の上層階と思われる辺りから東南側を望む構図で、高速道路沿いの風景が描かれています。<br />つまり、この辺りがセルティ・ストゥルルソンと森羅が暮らすマンションの立地モデルということになります。<br />※マンションの東隣に東京交通短期大学のビルが建設されたため（2018年4月竣工）、作中の風景は望めなくなっています。				トシマク	テ	13	18	2	
0571	0004	完了	東京都	豊島区	池袋跨線人道橋（パークブリッジ）	170-0013	東京都豊島区上池袋2		35.733617	139.713903	-						デュラララ!!×2 結	デュラララカケルニケツ	オープニングで、雨の中を、傘を差して歩く黒沼青葉と、バッグを頭にのせて走る間宮愛美がすれ違っていた歩道橋。				トシマク	テ	13	18	2	
0571	0005	完了	東京都	豊島区	六ツ又陸歩道橋（東側）	170-0012	東京都豊島区上池袋2		35.734583	139.716038	-						デュラララ!!×2 結	デュラララカケルニケツ	第35話で、セルティ・ストゥルルソンのもとへ向かう紀田正臣が、鯨木かさねに遭遇し、再び拉致されるかと思いきや、まさかの愛の告白をされていた歩道橋。				トシマク	テ	13	18	2	
0571	0006	完了	東京都	豊島区	パール上池袋	170-0012	東京都豊島区上池袋2-3-8		35.734875	139.716425	"https://www.google.co.jp/maps/@35.7347585,139.7167334,3a,52.5y,292.22h,110.58t/data=!3m6!1e1!3m4!1sR5YuOXXJ1NVzZCbxT4HE_Q!2e0!7i13312!8i6656"						デュラララ!!×2 結	デュラララカケルニケツ	竜ヶ峰帝人たちが通う「来良学園」の立地モデル。<br />第32話の回想シーンでは、高校時代の折原臨也と岸谷新羅が屋上で平和島静雄の話をしていました。				トシマク	テ	13	18	2	
0571	0007	完了	東京都	豊島区	池袋大橋	170-0012	東京都豊島区上池袋2-5		35.734113	139.713428	"https://www.google.co.jp/maps/@35.734129,139.7135749,3a,17.2y,115.76h,93.71t/data=!3m6!1e1!3m4!1s8khPz2h4PegBStDZAE1gug!2e0!7i13312!8i6656"				5		デュラララ!!×2 結	デュラララカケルニケツ	オープニングで、折原臨也と対峙する平和島静雄が「屍龍」の男のものと思われるバイクを放り投げていた橋。				トシマク	テ	13	18	2	
0571	0008	完了	東京都	豊島区	東口五叉路交差点	170-0013	東京都豊島区東池袋1-2		35.729496	139.714046	"https://www.google.co.jp/maps/@35.7293594,139.7140647,3a,21y,358.95h,97.51t/data=!3m6!1e1!3m4!1st0treIjW43Ofc2NZzhWH9g!2e0!7i13312!8i6656"				4.5		デュラララ!!×2 結	デュラララカケルニケツ	第26話で、鯨木かさねと間宮愛美が、互いの存在を知らぬまますれ違っていた交差点。				トシマク	テ	13	18	2	
0571	0009	完了	東京都	豊島区	グリーン大通り（東京信用金庫 本店前）	170-0013	東京都豊島区東池袋1-12		35.728989	139.714550	"https://www.google.co.jp/maps/@35.7291266,139.7142779,3a,24y,119.92h,91.24t/data=!3m6!1e1!3m4!1snmg3BtEmw9aac5LmbirAeA!2e0!7i13312!8i6656"				4.5		デュラララ!!×2 結	デュラララカケルニケツ	第26話で、折原臨也が大切に隠し持っていたセルティ・ストゥルルソンの首を、人々の往来の激しい池袋駅前に放置した帰りの間宮愛美が、臨也に一泡吹かせてやったとばかりにご機嫌で歩いていた場所。				トシマク	テ	13	18	2	
0571	0010	完了	東京都	豊島区	栄町通り	170-0013	東京都豊島区東池袋1-13		35.729115	139.715222	"https://www.google.co.jp/maps/@35.729132,139.7152232,3a,49.2y,15.36h,86.67t/data=!3m6!1e1!3m4!1s3DJSFyLs6Nt92cTX3X-O3w!2e0!7i13312!8i6656"						デュラララ!!×2 結	デュラララカケルニケツ	第25話で、「ダラーズ」メンバーの粛清をしていた「ブルースクエア」のメンバーに、澱切陣内の配下になっている四十万博人が声をかけていた場所。				トシマク	テ	13	18	2	
0571	0011	完了	東京都	豊島区	サンシャイン60通り（ラウンドワン 池袋店前）	170-0013	東京都豊島区東池袋1-14		35.729833	139.715076	"https://www.google.co.jp/maps/@35.7298086,139.7151021,3a,47.2y,337.49h,91.67t/data=!3m6!1e1!3m4!1sTZHULHHfID6anJHfcl5QHg!2e0!7i16384!8i8192"						デュラララ!!×2 結	デュラララカケルニケツ	第29話の、鯨木かさねの依頼で裏社会の仕事に身を投じているヴァローナが、平和島静雄との平和だった日常を思い出していた回想シーンで、田中トムと静雄、ヴァローナの3人が歩いていた場所。				トシマク	テ	13	18	2	
0571	0012	完了	東京都	豊島区	シネマサンシャイン池袋	170-0013	東京都豊島区東池袋1-14-3		35.729829	139.714797	"https://www.google.co.jp/maps/@35.729659,139.7146675,3a,54y,60.72h,113.53t/data=!3m6!1e1!3m4!1scXI8xQD2C-wmmuDMb3-KBA!2e0!7i16384!8i8192"						デュラララ!!×2 結	デュラララカケルニケツ	第29話で、ビルの巨大モニターに映し出された豊島区東池袋警察署前での警察車両襲撃事件を伝えるニュース番組を、人々が見上げたり、スマホでニュースを確認する人々の様子が描かれていました。				トシマク	テ	13	18	2	
0571	0013	完了	東京都	豊島区	池袋ホワイトハウスビル 前	170-0013	東京都豊島区東池袋1-20		35.730769	139.715846	"https://www.google.co.jp/maps/@35.7307188,139.7157669,3a,15y,53.06h,85.88t/data=!3m6!1e1!3m4!1sUqwzaZLaEb1jn9oxBaQpwA!2e0!7i13312!8i6656"				5		デュラララ!!×2 結	デュラララカケルニケツ	第33話で、病院を抜け出した門田京平を探しに出ていた狩沢絵理華が、「露西亜寿司」に向けて集まっくる「罪歌」の子どもたちに遭遇して、ビル前の自動販売機に身を隠していた場所。				トシマク	テ	13	18	2	
0571	0014	完了	東京都	豊島区	サンシャイン60通り（セガ池袋GiGO前）	170-0013	東京都豊島区東池袋1-21		35.730098	139.716095	"https://www.google.co.jp/maps/@35.7301044,139.716141,3a,46.5y,293.46h,103.59t/data=!3m6!1e1!3m4!1s9CAcxi4uNqE4-fGTTR-TuA!2e0!7i16384!8i8192"						デュラララ!!×2 結	デュラララカケルニケツ	第26話で、折原臨也にマンションで警護を任されていたセルティ・ストゥルルソンの首を、臨也に嫌がらせをしたいと言って訪れた間宮愛美に渡して勝手にお役返上してしまった贄川春奈が、マンションを出て何かを探すように歩いていた場所。				トシマク	テ	13	18	2	
